"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Sep 30 18:32:33 GMT 2024","Mon Sep 30 18:32:35 GMT 2024","2048","Vantage-e2e-tests-chrome","login.spec.ts","login","","","Successful Login",""
"failed","Mon Sep 30 18:32:45 GMT 2024","Mon Sep 30 18:32:47 GMT 2024","2087","Vantage-e2e-tests-chrome","login.spec.ts","login","","","Unsuccessful Login",""
"passed","Mon Sep 30 18:32:22 GMT 2024","Mon Sep 30 18:32:25 GMT 2024","2992","Vantage-e2e-tests-chrome","contactUs.spec.ts","ContactUs","","","Unsuccessful Form Submission",""
"failed","Mon Sep 30 18:32:14 GMT 2024","Mon Sep 30 18:32:21 GMT 2024","7709","Vantage-e2e-tests-chrome","contactUs.spec.ts","ContactUs","","","Successful Form Submission",""
