"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 12 19:24:33 GMT 2024","Fri Apr 12 19:24:35 GMT 2024","2506","Vantage-e2e-tests-chrome","contactUs.spec.ts","ContactUs","","","Successful Form Submission",""
"passed","Fri Apr 12 19:24:35 GMT 2024","Fri Apr 12 19:24:37 GMT 2024","1101","Vantage-e2e-tests-chrome","contactUs.spec.ts","ContactUs","","","Unsuccessful Form Submission",""
"passed","Fri Apr 12 19:24:38 GMT 2024","Fri Apr 12 19:24:41 GMT 2024","3611","Vantage-e2e-tests-chrome","login.spec.ts","login","","","Successful Login",""
"passed","Fri Apr 12 19:24:41 GMT 2024","Fri Apr 12 19:24:43 GMT 2024","1934","Vantage-e2e-tests-chrome","login.spec.ts","login","","","Unsuccessful Login",""
