"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","83","Unsuccessful Login","Vantage-e2e-tests-chrome","Mon Sep 30 19:02:00 UTC 2024","failed","Mon Sep 30 19:02:00 UTC 2024","login","login.spec.ts","",""
"","63","Unsuccessful Form Submission","Vantage-e2e-tests-chrome","Mon Sep 30 19:01:48 UTC 2024","failed","Mon Sep 30 19:01:48 UTC 2024","ContactUs","contactUs.spec.ts","",""
"","72","Successful Login","Vantage-e2e-tests-chrome","Mon Sep 30 19:01:53 UTC 2024","failed","Mon Sep 30 19:01:54 UTC 2024","login","login.spec.ts","",""
"","62","Successful Form Submission","Vantage-e2e-tests-chrome","Mon Sep 30 19:01:46 UTC 2024","failed","Mon Sep 30 19:01:46 UTC 2024","ContactUs","contactUs.spec.ts","",""
