"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 30 18:50:10 GMT 2024","Mon Sep 30 18:50:13 GMT 2024","2831","Vantage-e2e-tests-chrome","contactUs.spec.ts","ContactUs","","","Unsuccessful Form Submission",""
"failed","Mon Sep 30 18:50:21 GMT 2024","Mon Sep 30 18:50:23 GMT 2024","1988","Vantage-e2e-tests-chrome","login.spec.ts","login","","","Successful Login",""
"failed","Mon Sep 30 18:50:02 GMT 2024","Mon Sep 30 18:50:10 GMT 2024","7599","Vantage-e2e-tests-chrome","contactUs.spec.ts","ContactUs","","","Successful Form Submission",""
"failed","Mon Sep 30 18:50:32 GMT 2024","Mon Sep 30 18:50:34 GMT 2024","2052","Vantage-e2e-tests-chrome","login.spec.ts","login","","","Unsuccessful Login",""
