"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Sep 30 18:27:45 GMT 2024","Mon Sep 30 18:27:48 GMT 2024","2879","Vantage-e2e-tests-chrome","login.spec.ts","login","","","Unsuccessful Login",""
"passed","Mon Sep 30 18:27:19 GMT 2024","Mon Sep 30 18:27:22 GMT 2024","3390","Vantage-e2e-tests-chrome","contactUs.spec.ts","ContactUs","","","Unsuccessful Form Submission",""
"failed","Mon Sep 30 18:27:10 GMT 2024","Mon Sep 30 18:27:19 GMT 2024","8755","Vantage-e2e-tests-chrome","contactUs.spec.ts","ContactUs","","","Successful Form Submission",""
"failed","Mon Sep 30 18:27:32 GMT 2024","Mon Sep 30 18:27:35 GMT 2024","2445","Vantage-e2e-tests-chrome","login.spec.ts","login","","","Successful Login",""
