"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 30 18:44:10 GMT 2024","Mon Sep 30 18:44:14 GMT 2024","4296","Vantage-e2e-tests-chrome","contactUs.spec.ts","ContactUs","","","Unsuccessful Form Submission",""
"failed","Mon Sep 30 18:44:34 GMT 2024","Mon Sep 30 18:44:36 GMT 2024","1945","Vantage-e2e-tests-chrome","login.spec.ts","login","","","Unsuccessful Login",""
"failed","Mon Sep 30 18:44:22 GMT 2024","Mon Sep 30 18:44:25 GMT 2024","2430","Vantage-e2e-tests-chrome","login.spec.ts","login","","","Successful Login",""
"passed","Mon Sep 30 18:43:57 GMT 2024","Mon Sep 30 18:44:02 GMT 2024","5339","Vantage-e2e-tests-chrome","contactUs.spec.ts","ContactUs","","","Successful Form Submission",""
