"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 30 18:40:01 GMT 2024","Mon Sep 30 18:40:06 GMT 2024","4434","Vantage-e2e-tests-chrome","contactUs.spec.ts","ContactUs","","","Successful Form Submission",""
"passed","Mon Sep 30 18:40:06 GMT 2024","Mon Sep 30 18:40:08 GMT 2024","2648","Vantage-e2e-tests-chrome","contactUs.spec.ts","ContactUs","","","Unsuccessful Form Submission",""
"failed","Mon Sep 30 18:40:17 GMT 2024","Mon Sep 30 18:40:19 GMT 2024","1905","Vantage-e2e-tests-chrome","login.spec.ts","login","","","Successful Login",""
"failed","Mon Sep 30 18:40:27 GMT 2024","Mon Sep 30 18:40:29 GMT 2024","1976","Vantage-e2e-tests-chrome","login.spec.ts","login","","","Unsuccessful Login",""
