"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 12 18:24:22 GMT 2024","Fri Apr 12 18:24:27 GMT 2024","5102","webkit","login.spec.ts","login","","","Successful Login",""
"passed","Fri Apr 12 18:22:47 GMT 2024","Fri Apr 12 18:22:52 GMT 2024","5659","firefox","login.spec.ts","login","","","Successful Login",""
"passed","Fri Apr 12 18:22:43 GMT 2024","Fri Apr 12 18:22:45 GMT 2024","2252","chromium","login.spec.ts","login","","","Unsuccessful Login",""
"passed","Fri Apr 12 18:22:52 GMT 2024","Fri Apr 12 18:22:55 GMT 2024","2925","firefox","login.spec.ts","login","","","Unsuccessful Login",""
"passed","Fri Apr 12 18:22:38 GMT 2024","Fri Apr 12 18:22:43 GMT 2024","5258","chromium","login.spec.ts","login","","","Successful Login",""
"broken","Fri Apr 12 18:25:50 GMT 2024","Fri Apr 12 18:26:30 GMT 2024","40219","webkit","login.spec.ts","login","","","Unsuccessful Login",""
