"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 30 18:57:48 GMT 2024","Mon Sep 30 18:57:52 GMT 2024","3484","Vantage-e2e-tests-chrome","contactUs.spec.ts","ContactUs","","","Unsuccessful Form Submission",""
"passed","Mon Sep 30 18:57:24 GMT 2024","Mon Sep 30 18:57:30 GMT 2024","6244","Vantage-e2e-tests-chrome","contactUs.spec.ts","ContactUs","","","Successful Form Submission",""
"failed","Mon Sep 30 18:58:14 GMT 2024","Mon Sep 30 18:58:17 GMT 2024","2888","Vantage-e2e-tests-chrome","login.spec.ts","login","","","Unsuccessful Login",""
"failed","Mon Sep 30 18:58:01 GMT 2024","Mon Sep 30 18:58:04 GMT 2024","2523","Vantage-e2e-tests-chrome","login.spec.ts","login","","","Successful Login",""
